source_ref,micro_skill_key,record_key,issue_type,current_value,issue,codex_recommendation,approve_amend_reject,reviewer_comment
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!11,,sub,slash_delimited_gloss_review,under / below,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!12,,inter,slash_delimited_gloss_review,between / among,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!13,,super,slash_delimited_gloss_review,above / beyond,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!2,,un,slash_delimited_gloss_review,not / opposite of,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!3,,re,slash_delimited_gloss_review,again / back,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!30,,dict,slash_delimited_gloss_review,say / speak (Latin),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!37,,phon,slash_delimited_gloss_review,sound / voice (Greek),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!38,,graph,slash_delimited_gloss_review,write / draw (Greek),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!40,,scope,slash_delimited_gloss_review,look / watch (Greek),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!46,,tri,slash_delimited_gloss_review,three (Greek/Latin),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!5,,dis,slash_delimited_gloss_review,not / opposite of,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!6,,mis,slash_delimited_gloss_review,wrongly / badly,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!8,,im,slash_delimited_gloss_review,not (before m/p),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!151,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,photograph,slash_delimited_part_gloss_review,write / draw,Part gloss contains slash-delimited alternatives; retained pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!160,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,geography,slash_delimited_part_gloss_review,write / draw,Part gloss contains slash-delimited alternatives; retained pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!166,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,react,slash_delimited_part_gloss_review,back / again,Part gloss contains slash-delimited alternatives; retained pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!27,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,windy,slash_delimited_part_gloss_review,having / like,Part gloss contains slash-delimited alternatives; retained pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!4,D4_MOR_BASE_WORDS_IDENTIFY_BASE,jumper,slash_delimited_part_gloss_review,one who / thing that,Part gloss contains slash-delimited alternatives; retained pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!63,D4_MOR_PREFIXES_SUB_INTER_SUPER,superhero,slash_delimited_part_gloss_review,above / beyond,Part gloss contains slash-delimited alternatives; retained pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!64,D4_MOR_PREFIXES_SUB_INTER_SUPER,supermarket,slash_delimited_part_gloss_review,above / beyond,Part gloss contains slash-delimited alternatives; retained pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!27,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX::windy,slash_delimited_part_or_gloss,word=windy; parts=part_1:base source='wind' surface='wind' gloss='' range=0-4 | part_2:suffix source='y' surface='y' gloss='having / like' range=4-5; joins=part_1->part_2 none '' range=4-4; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!4,D4_MOR_BASE_WORDS_IDENTIFY_BASE,D4_MOR_BASE_WORDS_IDENTIFY_BASE::jumper,slash_delimited_part_or_gloss,word=jumper; parts=part_1:base source='jump' surface='jump' gloss='' range=0-4 | part_2:suffix source='er' surface='er' gloss='one who / thing that' range=4-6; joins=part_1->part_2 none '' range=4-4; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!121,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED::ice_cream,open_or_hyphenated_compound,word=ice cream; parts=part_1:base source='ice' surface='ice' gloss='' range=0-3 | part_2:base source='cream' surface='cream' gloss='' range=4-9; joins=part_1->part_2 space ' ' range=3-4; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Approve ordinary space/hyphen join modelling if the compound spelling is correct; amend only if the compound style or component analysis is wrong.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!122,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED::living_room,open_or_hyphenated_compound,word=living room; parts=part_1:base source='living' surface='living' gloss='' range=0-6 | part_2:base source='room' surface='room' gloss='' range=7-11; joins=part_1->part_2 space ' ' range=6-7; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Approve ordinary space/hyphen join modelling if the compound spelling is correct; amend only if the compound style or component analysis is wrong.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!127,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED::mother_in_law,open_or_hyphenated_compound,word=mother-in-law; parts=part_1:base source='mother' surface='mother' gloss='' range=0-6 | part_2:base source='in' surface='in' gloss='' range=7-9 | part_3:base source='law' surface='law' gloss='' range=10-13; joins=part_1->part_2 hyphen '-' range=6-7 | part_2->part_3 hyphen '-' range=9-10; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Approve ordinary space/hyphen join modelling if the compound spelling is correct; amend only if the compound style or component analysis is wrong.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!125,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED::part_time,open_or_hyphenated_compound,word=part-time; parts=part_1:base source='part' surface='part' gloss='' range=0-4 | part_2:base source='time' surface='time' gloss='' range=5-9; joins=part_1->part_2 hyphen '-' range=4-5; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Approve ordinary space/hyphen join modelling if the compound spelling is correct; amend only if the compound style or component analysis is wrong.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!126,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED::post_office,open_or_hyphenated_compound,word=post office; parts=part_1:base source='post' surface='post' gloss='' range=0-4 | part_2:base source='office' surface='office' gloss='' range=5-11; joins=part_1->part_2 space ' ' range=4-5; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Approve ordinary space/hyphen join modelling if the compound spelling is correct; amend only if the compound style or component analysis is wrong.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!123,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED::twenty_one,open_or_hyphenated_compound,word=twenty-one; parts=part_1:base source='twenty' surface='twenty' gloss='' range=0-6 | part_2:base source='one' surface='one' gloss='' range=7-10; joins=part_1->part_2 hyphen '-' range=6-7; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Approve ordinary space/hyphen join modelling if the compound spelling is correct; amend only if the compound style or component analysis is wrong.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!124,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED::well_known,open_or_hyphenated_compound,word=well-known; parts=part_1:base source='well' surface='well' gloss='' range=0-4 | part_2:base source='known' surface='known' gloss='' range=5-10; joins=part_1->part_2 hyphen '-' range=4-5; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Approve ordinary space/hyphen join modelling if the compound spelling is correct; amend only if the compound style or component analysis is wrong.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!63,D4_MOR_PREFIXES_SUB_INTER_SUPER,D4_MOR_PREFIXES_SUB_INTER_SUPER::superhero,slash_delimited_part_or_gloss,word=superhero; parts=part_1:prefix[prefix_SUPER] source='super' surface='super' gloss='above / beyond' range=0-5 | part_2:base source='hero' surface='hero' gloss='' range=5-9; joins=part_1->part_2 none '' range=5-5; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!64,D4_MOR_PREFIXES_SUB_INTER_SUPER,D4_MOR_PREFIXES_SUB_INTER_SUPER::supermarket,slash_delimited_part_or_gloss,word=supermarket; parts=part_1:prefix[prefix_SUPER] source='super' surface='super' gloss='above / beyond' range=0-5 | part_2:base source='market' surface='market' gloss='' range=5-11; joins=part_1->part_2 none '' range=5-5; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!155,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS::autograph,root_or_etymology_review,word=autograph; parts=part_1:root source='auto' surface='auto' gloss='self (Greek)' range=0-4 | part_2:root[root_GRAPH] source='graph' surface='graph' gloss='write' range=4-9; joins=part_1->part_2 none '' range=4-4; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!152,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS::microphone,root_or_etymology_review,word=microphone; parts=part_1:root[root_MICRO] source='micro' surface='micro' gloss='small' range=0-5 | part_2:root source='phone' surface='phone' gloss='sound' range=5-10; joins=part_1->part_2 none '' range=5-5; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!154,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS::microscope,root_or_etymology_review,word=microscope; parts=part_1:root[root_MICRO] source='micro' surface='micro' gloss='small' range=0-5 | part_2:root[root_SCOPE] source='scope' surface='scope' gloss='look' range=5-10; joins=part_1->part_2 none '' range=5-5; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!153,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS::paragraph,root_or_etymology_review,word=paragraph; parts=part_1:prefix source='para' surface='para' gloss='beside (Greek)' range=0-4 | part_2:root[root_GRAPH] source='graph' surface='graph' gloss='write' range=4-9; joins=part_1->part_2 none '' range=4-4; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!151,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS::photograph,root_or_etymology_review;slash_delimited_part_or_gloss,word=photograph; parts=part_1:root[root_PHOTO] source='photo' surface='photo' gloss='light' range=0-5 | part_2:root[root_GRAPH] source='graph' surface='graph' gloss='write / draw' range=5-10; joins=part_1->part_2 none '' range=5-5; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!149,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS::telephone,root_or_etymology_review,word=telephone; parts=part_1:root[root_TELE] source='tele' surface='tele' gloss='far' range=0-4 | part_2:root source='phone' surface='phone' gloss='sound' range=4-9; joins=part_1->part_2 none '' range=4-4; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!150,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS::telescope,root_or_etymology_review,word=telescope; parts=part_1:root[root_TELE] source='tele' surface='tele' gloss='far' range=0-4 | part_2:root[root_SCOPE] source='scope' surface='scope' gloss='look' range=4-9; joins=part_1->part_2 none '' range=4-4; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!145,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,D4_MOR_ROOTS_COMMON_LATIN_ROOTS::construct,root_or_etymology_review,word=construct; parts=part_1:prefix source='con' surface='con' gloss='together' range=0-3 | part_2:root[root_STRUCT] source='struct' surface='struct' gloss='build' range=3-9; joins=part_1->part_2 none '' range=3-3; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!143,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,D4_MOR_ROOTS_COMMON_LATIN_ROOTS::export,root_or_etymology_review,word=export; parts=part_1:prefix source='ex' surface='ex' gloss='out' range=0-2 | part_2:root[root_PORT] source='port' surface='port' gloss='carry' range=2-6; joins=part_1->part_2 none '' range=2-2; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!146,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,D4_MOR_ROOTS_COMMON_LATIN_ROOTS::interrupt,root_or_etymology_review,word=interrupt; parts=part_1:prefix[prefix_INTER] source='inter' surface='inter' gloss='between' range=0-5 | part_2:root[root_RUPT] source='rupt' surface='rupt' gloss='break' range=5-9; joins=part_1->part_2 none '' range=5-5; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!148,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,D4_MOR_ROOTS_COMMON_LATIN_ROOTS::prediction,root_or_etymology_review,word=prediction; parts=part_1:prefix[prefix_PRE] source='pre' surface='pre' gloss='before' range=0-3 | part_2:root[root_DICT] source='dict' surface='dict' gloss='say' range=3-7 | part_3:suffix[suffix_ION] source='ion' surface='ion' gloss='noun-maker' range=7-10; joins=part_1->part_2 none '' range=3-3 | part_2->part_3 none '' range=7-7; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
