source_key,source_category,source_name,source_url,source_licence,source_use_note,importability_status,legal_review_status
canonical_spelling_word_map_v1,internal_reviewed_seed,Canonical spelling word-map workbook v1,docs/implementation/seed-data/canonical-spelling-word-map/canonical-spelling-word-map-v1.xlsx,internal/manual,"Internal pilot content metadata; locally QA-audited; not runtime, resolver, mastery, assignment, or final teaching truth.",importable,not_required
domain4_seed_expansion,internal_reviewed_seed,Domain 4 seed expansion artifact,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,"Internal seed artifact for existing D4 keys, starter words, and seed teaching points; candidate metadata only.",importable,not_required
common_misspellings_seed_v1,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,internal,Internal curated examples for candidate word identity and diagnostic mapping notes; not learner evidence or resolver truth.,importable,not_required
teaching_dictionary_workbook_template,internal_authored,Phase 5C teaching dictionary workbook template,docs/implementation/seed-data/teaching-dictionary/teaching-dictionary-workbook-template.xlsx,internal,"Internal template and CSV contract helper; schema contract only, not teaching content truth.",importable,not_required
phase_5_validator_fixtures,internal_authored,Phase 5C validator fixtures,scripts/fixtures/teaching-dictionary-csv,internal,Synthetic validator-contract examples inspected for shape only; not imported as real teaching content.,not_importable,not_required
uk_national_curriculum_spelling_appendix,reference_only,UK National Curriculum English spelling appendix,https://assets.publishing.service.gov.uk/media/5a7ccc06ed915d63cc65ce61/English_Appendix_1_-_Spelling.pdf,,Curriculum-scope reference only unless importability is separately established; not surfaced as child-facing copy.,reference_only,unknown
phase_5_source_intake_ai_draft,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft explanation/progression text for human review only; not approved or final teaching truth.,unknown,required
katie_teaching_content_review_2026_07_01,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",importable,not_required
katie_remaining_blocker_review_2026_07_01,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",importable,not_required
cmu_pronouncing_dictionary_reference_2026_07_01,open_licensed,CMU Pronouncing Dictionary,https://github.com/cmusphinx/cmudict,CMUdict BSD-style permissive licence,CMUdict fallback pronunciation metadata used only where no exact British IPA row exists. Project legal/importability review passed for this fallback candidate metadata use; no import performed by this pass.,importable,passed
open_dict_data_ipa_dict_en_uk_2026_07_01,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British English Received Pronunciation IPA candidate metadata. Project legal/importability review passed for this candidate metadata use.,importable,passed
morpholex_en_2017_2026_07_01,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8.",importable,passed
bnc_frequency_lists_ucrel_2026_07_01,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list retained as fallback/comparison evidence for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,requires_legal_review,required
kuperman_stadthagen_brysbaert_aoa_2012_reference_2026_07_01,reference_only,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,Article/supplementary data terms require legal review before product import,Reference source for adult-rated age-of-acquisition evidence. Source data file was not bundled by this pass unless KUPERMAN_AOA_PATH is supplied.,requires_legal_review,required
brysbaert_biemiller_aoa_2017_reference_2026_07_01,reference_only,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,Reported non-commercial research-use terms; legal review required before product import,Reference source for educational age-of-acquisition/word-meaning evidence. Source data file was not bundled by this pass unless BRYSBAERT_BIEMILLER_AOA_PATH is supplied.,requires_legal_review,required
subtlex_uk_van_heuven_2014_reference_2026_07_01,reference_only,SUBTLEX-UK,https://doi.org/10.1080/17470218.2013.850521,Published dataset/source terms not verified in this pass; legal review required before product import,British subtitle-based word frequency reference for audit comparison with BNC. Source data file was not bundled by this pass unless SUBTLEX_UK_PATH is supplied. Active canonical_words.csv frequency_band values are not updated by this pass.,requires_legal_review,required
wordfreq_python_package_fallback_2026_07_01,open_licensed,wordfreq Python package,https://github.com/rspeer/wordfreq/,Apache-2.0 package licence; underlying data-source importability requires review,Primary frequency audit signal used when SUBTLEX-UK source data is not locally supplied. BNC is retained as fallback/comparison evidence. Active canonical_words.csv frequency_band values are not updated by this pass.,requires_legal_review,required
brysbaert_biemiller_test_based_aoa_master_2026_07_02,open_licensed,Brysbaert-Biemiller test-based AoA master file,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx,Project legal/importability review passed for this candidate age-recommendation use,"Legally approved test-based age-of-acquisition evidence. Uses AoAtestbased with median age across multiple meaning rows; candidate audit only, not active canonical_words.csv age truth.",importable,passed
uk_spelling_words_age_estimates_2026_07_02,internal_authored,UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored age estimate extract,Project-authored age estimate extract informed by UK curriculum spelling expectations. Used with AoA evidence for candidate age recommendations; active canonical_words.csv age_band values are not updated by this pass.,importable,passed
katie_missing_age_evidence_uk_curriculum_fill_2026_07_02,internal_authored,Katie Sanderson missing age evidence UK curriculum fill,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_populated_uk_curriculum.xlsx,internal/project-authored manual review,"Human-reviewed manual fill for words with no test-based AoA or UK age estimate match. Uses UK curriculum pattern placement and a project year-to-age mapping; candidate audit only, not active canonical_words.csv age truth.",importable,passed
