micro_skill_key,content_version,version_status,is_active,readiness_state,blocker_reasons,blocker_fields,blocker_messages,teaching_objective,sample_preview_word_key
D4_SCHWA_INITIAL_A_INITIAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak initial a.,about_en_gb
D4_SCHWA_INITIAL_E_INITIAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak initial e.,eleven_en_gb
D4_SCHWA_INITIAL_O_INITIAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak initial o.,opinion_en_gb
D4_SCHWA_MEDIAL_COMMON_WEAK_VOWELS,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak middle vowels.,family_en_gb
D4_SCHWA_MEDIAL_NATURAL_ACTUAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak middle vowel in natural/actual type words.,natural_en_gb
D4_SCHWA_FINAL_ER_FINAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak final /uh/ spelled -er.,teacher_en_gb
D4_SCHWA_FINAL_OR_FINAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak final /uh/ spelled -or.,doctor_en_gb
D4_SCHWA_FINAL_AR_FINAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak final /uh/ spelled -ar.,dollar_en_gb
D4_SCHWA_FINAL_A_FINAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak final /uh/ spelled -a.,sofa_en_gb
D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell base words with prefixes.,unhappy_en_gb
D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell base words with suffixes.,
D4_MOR_PREFIXES_UN,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell the prefix un-.,unhappy_en_gb
D4_MOR_PREFIXES_RE_PRE,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell the prefixes re- and pre-.,replay_en_gb
D4_MOR_PREFIXES_DIS_MIS,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell the prefixes dis- and mis-.,
D4_MOR_PREFIXES_IN_IM_IL_IR,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,"Child can use meaning parts to spell negative prefixes in-, im-, il- and ir-.",impossible_en_gb
D4_MOR_PREFIXES_SUB_INTER_SUPER,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,"Child can use meaning parts to spell the prefixes sub-, inter- and super-.",submarine_en_gb
D4_MOR_SUFFIXES_NESS,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell the suffix -ness.,kindness_en_gb
D4_MOR_SUFFIXES_MENT,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell the suffix -ment.,enjoyment_en_gb
D4_MOR_SUFFIXES_OUS,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell the suffix -ous.,famous_en_gb
D4_MOR_SUFFIXES_ABLE_IBLE,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell the suffixes -able and -ible.,readable_en_gb
D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell closed compound words.,football_en_gb
D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell separate or hyphenated compound words.,ice_cream_en_gb
D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell using related words to support spelling.,sign_en_gb
D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell science and maths roots.,triangle_en_gb
D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell stable root-family spelling.,electric_en_gb
D4_INF_PLURALS_S,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell regular plurals with -s while preserving or changing the base word correctly.,cats_en_gb
D4_INF_PLURALS_ES,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell plurals with -es while preserving or changing the base word correctly.,boxes_en_gb
D4_INF_PLURALS_IES,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell plurals changing y to ies while preserving or changing the base word correctly.,babies_en_gb
D4_INF_PLURALS_VES,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell plurals changing f or fe to ves while preserving or changing the base word correctly.,leaves_en_gb
D4_INF_PAST_TENSE_ED_T_SOUND,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell past tense -ed sounding /t/ while preserving or changing the base word correctly.,jumped_en_gb
D4_INF_PAST_TENSE_ED_ID_SOUND,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell past tense -ed sounding /id/ while preserving or changing the base word correctly.,wanted_en_gb
D4_INF_PRESENT_TENSE_S,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell present tense -s while preserving or changing the base word correctly.,runs_en_gb
D4_INF_PRESENT_TENSE_ES,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell present tense -es while preserving or changing the base word correctly.,watches_en_gb
D4_INF_PRESENT_TENSE_Y_TO_IES,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell present tense y-to-ies while preserving or changing the base word correctly.,carries_en_gb
D4_INF_ING_ENDINGS_REGULAR,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell regular -ing endings while preserving or changing the base word correctly.,jumping_en_gb
D4_INF_COMPARATIVE_SUPERLATIVE_REGULAR,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell regular -er and -est comparisons while preserving or changing the base word correctly.,faster_en_gb
D4_INF_COMPARATIVE_SUPERLATIVE_DROP_E,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can add and spell drop-e before -er and -est while preserving or changing the base word correctly.,
D4_INF_IRREGULAR_INFLECTIONS_IRREGULAR_PAST,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can remember and use irregular past tense verbs as fixed irregular forms.,went_en_gb
D4_INF_IRREGULAR_INFLECTIONS_IRREGULAR_PLURALS,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can remember and use irregular plurals as fixed irregular forms.,children_en_gb
D4_INF_IRREGULAR_INFLECTIONS_IRREGULAR_PRESENT,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_INF first-exposure content requires morphology metadata support.,Child can remember and use irregular present tense forms as fixed irregular forms.,does_en_gb
